#{"t_start": 1743115918.587585, "env_id": "None"}
r,l,t
32.371071,47,12.439125
40.493862,47,12.457636
41.173787,47,13.290551
41.421312,47,14.241017
41.580297,47,15.092751
32.546201,47,15.929871
38.722391,47,16.765634
41.985143,47,17.690988
39.257632,47,18.51077
43.48425,47,19.35963
39.650811,47,20.088913
40.952573,47,20.881402
38.578685,47,22.210879
41.761873,47,23.312655
41.353924,47,24.377956
40.625616,47,25.6173
33.932358,47,26.963643
39.827557,47,28.416992
31.674358,47,29.499429
42.389095,47,30.69513
32.691993,47,32.103739
37.354803,47,33.275309
37.272917,47,34.635932
34.945184,47,35.946058
33.016311,47,37.191958
30.904222,47,38.342107
40.227961,47,39.460441
36.923742,47,40.588643
31.887118,47,41.878726
38.013349,47,43.093154
43.724657,47,44.110739
39.006393,47,45.173656
39.923277,47,46.285733
37.470438,47,47.496431
33.835386,47,48.580733
39.330758,47,49.65156
36.960665,47,50.840992
38.471156,47,52.039619
39.693095,47,53.143917
34.124815,47,54.188551
30.45442,47,55.265391
40.655909,47,56.372916
39.009007,47,57.634773
36.597543,47,58.753151
33.706758,47,59.81211
43.066033,47,60.910449
40.041107,47,62.099211
31.498128,47,63.244547
39.980474,47,64.290024
33.374832,47,65.491927
37.516395,47,66.608228
39.745569,47,67.814641
32.125044,47,68.925055
42.923959,47,69.971174
39.674874,47,71.071532
34.576506,47,72.257409
39.283718,47,73.551747
32.601504,47,74.70081
38.30421,47,75.786793
32.323002,47,76.914466
33.510292,47,78.158728
40.248049,47,79.248179
42.028326,47,80.313638
41.787816,47,81.5299
32.092648,47,82.855569
36.606706,47,84.005771
38.572481,47,85.31226
38.920114,47,86.626817
33.362429,47,88.137839
35.373493,47,89.511472
36.363957,47,91.083983
39.016193,47,92.938589
38.075251,47,94.358856
44.050237,47,96.039205
32.802487,47,98.037392
35.134958,47,99.936198
37.209336,47,102.017926
38.198788,47,103.572344
32.826444,47,105.400942
37.66951,47,106.532698
30.427678,47,107.753032
29.334449,47,108.900171
39.448677,47,110.0942
41.737666,47,111.275153
37.36275,47,112.568588
42.715448,47,113.769171
33.616499,47,114.855556
41.228315,47,115.964658
39.242769,47,117.077665
35.77223,47,118.413399
43.442274,47,119.552298
40.369608,47,120.576757
41.828578,47,121.721218
35.331983,47,123.080012
42.058188,47,124.364544
35.860793,47,125.478031
37.95012,47,126.727915
37.20475,47,128.01064
36.397626,47,129.145759
36.472991,47,130.193096
36.453515,47,131.448156
42.4337,47,132.577706
35.505767,47,133.81773
39.602661,47,134.985167
43.485339,47,136.107888
34.348352,47,137.247619
