#{"t_start": 1743795174.58222, "env_id": "None"}
r,l,t
14.027238,47,2.976023
14.027238,47,3.005937
13.896818,47,3.03039
14.104063,47,3.230609
14.114394,47,3.258933
14.104063,47,3.300628
14.114394,47,3.325458
13.910537,47,3.500559
14.119619,47,3.525438
13.910537,47,3.571252
14.119619,47,3.595924
13.949592,47,3.771061
13.953357,47,3.795322
13.949592,47,3.824578
13.953357,47,3.848377
13.896818,47,4.004194
13.941571,47,4.028328
13.896818,47,4.058635
13.941571,47,4.088165
13.904017,47,4.238384
13.896808,47,4.262671
13.904017,47,4.295905
13.896808,47,4.319834
13.896803,47,4.468788
13.897729,47,4.497223
13.896803,47,4.526699
13.897729,47,4.552494
13.896716,47,4.708515
13.896699,47,4.732814
13.896716,47,4.762131
13.896699,47,4.786336
13.896801,47,4.939741
13.896815,47,4.963885
13.896801,47,4.993474
13.896815,47,5.021245
13.896818,47,5.171167
13.896818,47,5.195521
13.896818,47,5.229733
13.896818,47,5.254208
13.896818,47,5.404823
13.896818,47,5.432402
13.896818,47,5.461958
13.896818,47,5.486014
13.896818,47,5.638158
13.896818,47,5.663194
13.896818,47,5.693732
13.896818,47,5.717869
13.896818,47,5.873091
13.896818,47,5.89781
13.896818,47,5.927269
13.896818,47,5.955832
13.896818,47,6.10537
13.896818,47,6.129573
13.896818,47,6.162685
13.896818,47,6.186872
13.896818,47,6.33622
13.896818,47,6.366004
13.896818,47,6.395273
13.896818,47,6.421512
13.896818,47,6.576377
13.896818,47,6.601008
13.896818,47,6.630897
13.896818,47,6.660537
13.896818,47,6.812226
13.896818,47,6.836325
13.896818,47,6.869582
13.896818,47,6.893462
13.896818,47,7.044165
13.896818,47,7.071718
13.896818,47,7.101087
13.896818,47,7.12536
13.896818,47,7.278138
13.896818,47,7.302274
13.896818,47,7.33229
13.896818,47,7.357167
13.896818,47,7.509182
13.896818,47,7.533241
13.896818,47,7.562856
13.896818,47,7.591075
13.896818,47,7.743368
13.896818,47,7.767499
13.896818,47,7.801828
13.896818,47,7.826481
13.896818,47,7.976077
13.896818,47,8.004025
13.896818,47,8.033444
13.896818,47,8.057401
13.896818,47,8.209976
13.896818,47,8.234104
13.896818,47,8.263319
13.896818,47,8.287541
13.896818,47,8.440112
13.896818,47,8.464972
13.896818,47,8.494495
13.896818,47,8.522265
13.896818,47,8.67258
13.896818,47,8.697606
13.896818,47,8.730842
13.896818,47,8.755105
14.060884,47,8.905808
14.043865,47,8.935706
14.060884,47,8.965269
14.043865,47,8.989327
14.009197,47,9.143775
14.050216,47,9.168371
14.009197,47,9.197855
14.050216,47,9.221675
14.088896,47,9.374194
14.027151,47,9.398356
14.088896,47,9.427499
14.027151,47,9.455344
13.99193,47,9.604683
14.013493,47,9.628729
13.99193,47,9.662946
14.013493,47,9.688499
14.116337,47,9.839482
14.043113,47,9.867492
14.116337,47,9.897134
14.043113,47,9.921213
14.059019,47,10.077017
14.118086,47,10.101092
14.059019,47,10.130619
14.118086,47,10.154745
14.325752,47,10.306921
14.192188,47,10.331354
14.325752,47,10.377348
14.192188,47,10.401639
14.202447,47,10.550448
14.216013,47,10.574619
14.202447,47,10.62042
14.216013,47,10.644491
14.187463,47,10.799274
14.224607,47,10.823425
14.187463,47,10.863848
14.224607,47,10.88991
14.272888,47,11.042079
14.224988,47,11.066175
14.272888,47,11.113234
14.224988,47,11.139947
14.195232,47,11.298621
14.224975,47,11.327728
14.195232,47,11.358771
14.224975,47,11.383439
14.291657,47,11.541565
14.22495,47,11.566183
14.291657,47,11.595861
14.22495,47,11.624151
14.228614,47,11.776411
14.224951,47,11.802345
14.228614,47,11.835847
14.224951,47,11.860158
14.21758,47,12.011072
14.225128,47,12.038854
14.21758,47,12.082643
14.225128,47,12.106836
14.139375,47,12.261544
14.225117,47,12.285988
14.139375,47,12.315404
14.225117,47,12.344561
14.104161,47,12.497922
14.225019,47,12.524653
14.104161,47,12.561797
14.225019,47,12.586666
14.18498,47,12.748008
14.224736,47,12.777249
14.18498,47,12.807328
14.224736,47,12.831816
14.360492,47,12.989209
14.224573,47,13.013137
14.360492,47,13.04256
14.224573,47,13.070675
14.220114,47,13.222067
14.22482,47,13.24633
14.220114,47,13.285678
14.22482,47,13.311642
14.158907,47,13.49393
14.22476,47,13.520298
14.158907,47,13.552092
14.22476,47,13.576678
14.16357,47,13.752307
14.224437,47,13.776983
14.16357,47,13.810966
14.224437,47,13.835449
14.185067,47,14.011941
14.224392,47,14.036835
14.185067,47,14.066652
14.224392,47,14.091117
14.606127,47,14.271998
14.224397,47,14.298285
14.606127,47,14.33367
14.224397,47,14.359334
14.101716,47,14.539875
14.224519,47,14.564583
14.101716,47,14.59471
14.224519,47,14.623041
14.340053,47,14.798264
14.224608,47,14.827503
14.340053,47,14.859048
14.224608,47,14.883923
14.006095,47,15.060081
14.224685,47,15.084456
14.006095,47,15.115774
14.224685,47,15.143446
14.233592,47,15.314238
14.224738,47,15.345716
14.233592,47,15.377506
14.224738,47,15.405686
14.149083,47,15.562513
14.224913,47,15.587483
14.149083,47,15.6176
14.224913,47,15.641989
14.44549,47,15.798044
14.224972,47,15.822492
14.44549,47,15.853047
14.224972,47,15.881223
14.111087,47,16.034727
14.22519,47,16.059239
14.111087,47,16.103019
14.22519,47,16.1277
14.182675,47,16.28554
14.225211,47,16.310701
14.182675,47,16.353916
14.225211,47,16.381842
13.896818,47,16.538407
14.22521,47,16.562353
13.896818,47,16.596863
14.22521,47,16.621085
13.896818,47,16.771095
14.225201,47,16.798514
13.896818,47,16.827923
14.225201,47,16.852857
13.896818,47,17.012166
14.225199,47,17.036859
13.896818,47,17.06652
14.225199,47,17.090572
13.896818,47,17.246168
14.225198,47,17.270689
13.896818,47,17.300377
14.225198,47,17.328316
13.896818,47,17.482384
14.225198,47,17.507601
13.896818,47,17.542086
14.225198,47,17.569999
13.896818,47,17.727537
14.225198,47,17.753427
13.896818,47,17.78368
14.225198,47,17.808203
13.896818,47,17.963993
14.225198,47,17.988348
13.896818,47,18.017855
14.225198,47,18.049432
8.94524,47,18.203555
14.225198,47,18.228248
8.94524,47,18.261677
14.225198,47,18.286312
8.94524,47,18.43916
14.225297,47,18.467979
8.94524,47,18.510731
14.225297,47,18.535898
13.896818,47,18.69261
14.225526,47,18.717306
13.896818,47,18.762704
14.225526,47,18.78696
13.896818,47,18.937655
14.225582,47,18.965743
13.896818,47,19.009382
14.225582,47,19.033442
13.896818,47,19.18756
14.225585,47,19.211789
13.896818,47,19.25547
14.225585,47,19.283675
13.896818,47,19.45153
14.225585,47,19.480403
13.896818,47,19.518225
14.225585,47,19.546668
8.94524,47,19.710939
14.225585,47,19.736149
8.94524,47,19.766541
14.225585,47,19.795602
13.896818,47,19.951524
14.225597,47,19.975957
13.896818,47,20.035155
14.225597,47,20.059517
8.94524,47,20.215546
14.225599,47,20.240175
8.94524,47,20.282063
14.225599,47,20.310382
13.896818,47,20.464494
14.225611,47,20.49118
13.896818,47,20.537685
14.225611,47,20.562248
8.94524,47,20.714791
14.225614,47,20.743041
8.94524,47,20.785265
14.225614,47,20.810391
8.94524,47,20.96641
14.225617,47,20.991115
8.94524,47,21.036736
14.225617,47,21.061527
8.94524,47,21.216776
14.22562,47,21.24504
8.94524,47,21.286973
14.22562,47,21.311507
8.94524,47,21.470499
14.225624,47,21.500038
8.94524,47,21.547509
14.225624,47,21.572486
13.896818,47,21.726
14.225639,47,21.754367
13.896818,47,21.805716
14.225639,47,21.834038
13.896818,47,21.992881
14.225645,47,22.019185
13.896818,47,22.061165
14.225645,47,22.09037
8.94524,47,22.242065
14.225645,47,22.266453
8.94524,47,22.299157
14.225645,47,22.323503
8.94524,47,22.479288
14.225645,47,22.503995
8.94524,47,22.533988
14.225645,47,22.561277
13.896818,47,22.720117
14.225646,47,22.744918
13.896818,47,22.791051
14.225646,47,22.8161
8.94524,47,22.970519
14.225646,47,22.998602
8.94524,47,23.028642
14.225646,47,23.052719
13.896818,47,23.208299
14.225646,47,23.23326
13.896818,47,23.263083
14.225646,47,23.287639
8.94524,47,23.443709
14.225646,47,23.472124
8.94524,47,23.513436
14.225646,47,23.538787
8.94524,47,23.691242
14.225648,47,23.719075
8.94524,47,23.761206
14.225648,47,23.785439
8.94524,47,23.942112
14.22565,47,23.966765
8.94524,47,24.008809
14.22565,47,24.037241
8.94524,47,24.193125
14.225651,47,24.218075
8.94524,47,24.264771
14.225651,47,24.289462
13.896818,47,24.447329
14.225652,47,24.471915
13.896818,47,24.516491
14.225652,47,24.541022
8.94524,47,24.699662
14.225652,47,24.725034
8.94524,47,24.759284
14.225652,47,24.784069
8.94524,47,24.951286
14.225652,47,24.980554
8.94524,47,25.011923
14.225652,47,25.038752
13.896818,47,25.196028
14.225652,47,25.220488
13.896818,47,25.250581
14.225652,47,25.279702
13.896818,47,25.432833
14.225652,47,25.458292
13.896818,47,25.49476
14.225652,47,25.526493
13.896818,47,25.694757
14.225652,47,25.720362
13.896818,47,25.751276
14.225652,47,25.775543
13.896818,47,25.933338
14.225652,47,25.958564
13.896818,47,25.991318
14.225652,47,26.020455
8.94524,47,26.173442
14.225652,47,26.19824
8.94524,47,26.233071
14.225652,47,26.258527
13.896818,47,26.415576
14.225652,47,26.440156
13.896818,47,26.470109
14.225652,47,26.494427
8.94524,47,26.668879
14.225652,47,26.693726
8.94524,47,26.731029
14.225652,47,26.758304
8.94524,47,26.935936
14.225652,47,26.960619
8.94524,47,26.990553
14.225652,47,27.015431
8.94524,47,27.193665
14.225652,47,27.218375
8.94524,47,27.25243
14.225652,47,27.277092
14.000685,47,214.389197
13.896818,47,214.499003
13.906083,47,214.523579
13.97508,47,214.643726
13.900269,47,214.671364
13.951448,47,214.777409
13.896818,47,214.801629
13.972404,47,214.908154
13.896818,47,214.934812
14.102693,47,215.040099
13.948112,47,215.064656
13.896818,47,215.173599
13.94906,47,215.202168
13.998075,47,215.308165
13.925384,47,215.332175
13.899607,47,215.42629
13.896818,47,215.451067
13.921546,47,215.545003
13.896818,47,215.568773
13.896818,47,215.666109
13.903634,47,215.69017
13.93951,47,215.783552
13.896818,47,215.812465
13.896827,47,215.908007
13.917185,47,215.931983
13.896818,47,216.026467
13.896818,47,216.050194
13.896818,47,216.145
13.896818,47,216.169142
13.896818,47,216.270704
13.896818,47,216.296546
13.896871,47,216.403277
13.896818,47,216.435111
13.929969,47,216.531188
13.941031,47,216.555349
14.044477,47,216.649964
14.015901,47,216.674741
13.919808,47,216.786502
13.939321,47,216.811551
13.968963,47,216.908845
13.986295,47,216.937723
13.954267,47,217.030301
13.927919,47,217.058371
13.896818,47,217.152977
13.896818,47,217.177151
13.896818,47,217.274657
13.896818,47,217.30042
13.896818,47,217.400427
13.896818,47,217.425581
13.896818,47,217.523655
13.896818,47,217.548543
13.896818,47,217.645265
13.896818,47,217.674045
13.896818,47,217.78059
13.896818,47,217.805409
13.896818,47,217.912153
13.896818,47,217.938875
13.896818,47,218.046005
13.896818,47,218.070586
13.896818,47,218.180935
13.896818,47,218.206319
13.896818,47,218.315417
13.896818,47,218.3409
13.896818,47,218.448966
13.896818,47,218.474241
13.931015,47,218.581107
13.896818,47,218.608633
13.896818,47,218.713789
13.896818,47,218.737828
13.935363,47,218.844037
13.896818,47,218.868086
13.896818,47,218.962802
13.896818,47,218.98706
13.896818,47,219.085182
13.89707,47,219.114865
13.972685,47,219.206984
13.942135,47,219.235123
13.901478,47,219.33259
13.918858,47,219.361262
13.896818,47,219.464496
13.896818,47,219.489343
13.896818,47,219.586212
13.896818,47,219.611123
13.896818,47,219.708533
13.896818,47,219.738928
13.896818,47,219.847139
13.896818,47,219.872598
13.896818,47,219.980904
13.896818,47,220.006
13.946435,47,220.114338
13.896818,47,220.139062
13.897755,47,220.25025
13.928293,47,220.27574
13.931002,47,220.383794
13.99185,47,220.408689
14.152979,47,220.519069
14.020489,47,220.544201
13.896818,47,220.669055
14.121384,47,220.695831
13.950313,47,220.819255
14.03908,47,220.844763
13.973719,47,220.954923
13.945874,47,220.986629
13.89769,47,221.093594
13.940966,47,221.119045
14.236728,47,221.226229
14.085344,47,221.250492
13.896818,47,221.357154
14.184364,47,221.381082
14.249098,47,221.501589
14.25387,47,221.52662
14.271433,47,221.646882
14.293209,47,221.671717
13.962411,47,221.791394
14.314627,47,221.82051
14.262752,47,221.941853
14.32002,47,221.96683
14.181386,47,222.085544
14.320383,47,222.113487
14.06221,47,222.234612
14.315605,47,222.259694
14.414291,47,222.368688
14.316216,47,222.393802
14.169837,47,222.506108
14.317599,47,222.538611
14.38195,47,222.647058
14.317103,47,222.672554
14.447204,47,222.780764
14.3198,47,222.805697
14.787169,47,222.907808
14.321199,47,222.933002
14.229508,47,223.045031
14.321919,47,223.069744
14.191563,47,223.197751
14.321572,47,223.222635
14.183758,47,223.317819
14.309578,47,223.344437
14.598764,47,223.44664
14.29996,47,223.475718
14.38938,47,223.574386
14.296612,47,223.600298
14.022872,47,223.695582
14.305874,47,223.720317
13.896806,47,223.816139
14.312823,47,223.840834
14.269825,47,223.936062
14.357329,47,223.962222
14.74401,47,224.071515
14.39581,47,224.100128
14.305408,47,224.208687
14.394455,47,224.233215
14.254549,47,224.329609
14.375794,47,224.354784
14.093973,47,224.452106
14.441955,47,224.477357
14.632375,47,224.58673
14.448118,47,224.615878
14.24529,47,224.724369
14.442071,47,224.74912
15.42128,47,224.846273
14.435735,47,224.872741
14.32429,47,224.968876
14.431805,47,224.994459
13.903063,47,225.090782
14.44388,47,225.119513
14.307048,47,225.212072
14.40433,47,225.240924
14.337532,47,225.337985
14.400808,47,225.363016
14.726466,47,225.459766
14.33186,47,225.483828
14.518934,47,225.583558
14.326223,47,225.607608
14.16738,47,225.704884
14.306627,47,225.729418
14.770414,47,225.835553
14.365195,47,225.863706
14.652915,47,225.96536
14.315527,47,225.989405
15.204192,47,226.085786
14.462557,47,226.11087
14.05095,47,226.219504
14.487899,47,226.243771
14.567628,47,226.350883
14.337831,47,226.378737
14.341979,47,226.473358
14.497899,47,226.49751
14.487197,47,226.606066
14.614949,47,226.630907
14.740259,47,226.738831
14.654705,47,226.763973
14.268704,47,226.873918
14.666235,47,226.899881
14.409868,47,227.01112
14.654336,47,227.036374
14.281782,47,227.135123
14.680062,47,227.160866
15.029158,47,227.271259
14.659236,47,227.300187
15.006772,47,227.398053
14.53854,47,227.423455
14.369014,47,227.52013
14.227961,47,227.544798
14.481435,47,227.640639
13.979979,47,227.665341
13.896818,47,227.760446
13.948654,47,227.784958
14.113856,47,227.88292
14.034451,47,227.911761
14.070021,47,228.005152
14.01337,47,228.034795
13.896818,47,228.131459
13.896818,47,228.157531
13.896818,47,228.254654
13.896818,47,228.280256
13.896818,47,228.377984
13.896818,47,228.403043
13.896818,47,228.500987
13.896818,47,228.526422
13.896818,47,228.624077
13.896818,47,228.653575
13.896818,47,228.750379
13.896818,47,228.775597
13.896818,47,228.87173
13.896818,47,228.896727
13.896818,47,228.993467
13.896818,47,229.018534
13.896818,47,229.115705
13.896818,47,229.140545
13.896818,47,229.237279
13.896818,47,229.266346
13.896818,47,229.362735
13.896818,47,229.388128
13.896818,47,229.484098
13.896818,47,229.508512
14.086777,47,229.605326
13.896818,47,229.630344
14.336027,47,229.725949
13.896818,47,229.75042
13.896818,47,229.857317
14.006473,47,229.884985
14.805593,47,229.991976
14.492093,47,230.016342
15.030721,47,230.122817
14.644334,47,230.147227
14.723745,47,230.25312
14.725874,47,230.277685
14.49241,47,230.400139
14.638821,47,230.424746
14.987431,47,230.529998
14.64468,47,230.554267
14.88642,47,230.660139
14.507572,47,230.684423
14.065938,47,230.789996
14.047074,47,230.817726
14.046643,47,230.913749
13.896818,47,230.938181
13.896818,47,231.032646
13.896818,47,231.057095
13.896818,47,231.152176
13.897087,47,231.176748
14.325698,47,231.271316
14.36428,47,231.295501
14.335875,47,231.390657
14.603687,47,231.418399
14.204851,47,231.526759
14.40964,47,231.555033
14.720491,47,231.660269
14.626847,47,231.684536
14.617728,47,231.790877
14.554869,47,231.815476
15.10471,47,231.921927
14.613677,47,231.950015
14.387257,47,232.041631
14.888978,47,232.070829
14.400333,47,232.179226
14.976038,47,232.203502
15.663074,47,232.312559
15.002192,47,232.338262
15.36186,47,232.46901
14.97432,47,232.493273
14.29388,47,232.58795
14.909157,47,232.612278
14.678214,47,232.706942
14.851039,47,232.73111
14.831767,47,232.825507
14.733286,47,232.849592
14.217542,47,232.951599
14.106689,47,232.977354
13.896818,47,233.089188
13.896818,47,233.114159
13.896818,47,233.221148
13.896818,47,233.248269
13.896818,47,233.355864
13.896818,47,233.380048
13.896818,47,233.487937
13.896818,47,233.516863
13.896818,47,233.625639
13.896818,47,233.650825
13.896818,47,233.759955
13.896818,47,233.784134
13.896818,47,233.89215
13.896818,47,233.920093
13.896818,47,234.026559
13.896818,47,234.050922
13.896818,47,234.157643
13.896818,47,234.182734
13.896818,47,234.280263
13.896818,47,234.305
13.896818,47,234.401335
13.896818,47,234.425965
13.896818,47,234.521265
13.896818,47,234.550174
13.896818,47,234.646605
13.896818,47,234.671248
13.896818,47,234.76628
13.896818,47,234.790662
13.896818,47,234.885419
13.896818,47,234.90954
13.896818,47,235.006
13.896818,47,235.030574
13.896818,47,235.127563
13.896818,47,235.151583
13.896818,47,235.246858
13.896818,47,235.274921
13.896818,47,235.370665
13.896818,47,235.39516
13.896818,47,235.492216
13.896818,47,235.517349
13.896818,47,235.613858
13.896818,47,235.638911
13.896818,47,235.735239
13.896818,47,235.759084
13.896818,47,235.862465
13.896818,47,235.890205
13.896818,47,235.980523
13.896818,47,236.009758
13.896818,47,236.103437
13.896818,47,236.127812
13.896818,47,236.222961
13.896818,47,236.247198
13.896818,47,236.342011
13.896818,47,236.366288
13.896818,47,236.46084
13.896818,47,236.485308
13.896818,47,236.58929
13.896818,47,236.616857
13.896818,47,236.721878
13.896818,47,236.746222
13.985259,47,236.852045
13.896818,47,236.876381
13.896818,47,236.982465
13.896818,47,237.006627
13.896818,47,237.100827
13.896818,47,237.128383
13.896818,47,237.218915
13.896818,47,237.24668
13.896818,47,237.342664
13.896818,47,237.367224
13.896818,47,237.463673
13.896818,47,237.49162
13.896818,47,237.587202
13.896818,47,237.611713
13.896818,47,237.706591
13.896818,47,237.730822
13.896818,47,237.82611
13.896818,47,237.854093
13.896818,47,237.945584
13.896818,47,237.97348
13.896818,47,238.067809
13.896818,47,238.09364
13.896818,47,238.188079
13.896818,47,238.212502
13.896818,47,238.307773
13.896818,47,238.332598
13.896818,47,238.427699
13.896818,47,238.452418
13.896818,47,238.547212
13.896818,47,238.575291
13.896818,47,238.66747
13.896818,47,238.695894
13.983523,47,238.790265
13.896818,47,238.81513
13.896818,47,238.910059
13.896818,47,238.934692
14.108564,47,239.031125
13.896818,47,239.055859
14.094391,47,239.151038
14.016615,47,239.17578
13.896818,47,239.270938
14.067505,47,239.299525
15.204761,47,239.393279
14.582202,47,239.422154
16.115244,47,239.517345
14.983137,47,239.541405
15.230713,47,239.635114
14.986912,47,239.659272
14.504937,47,239.753348
14.987588,47,239.777419
