#{"t_start": 1743796924.0442216, "env_id": "None"}
r,l,t
16.561205,47,11.358654
16.210173,47,11.369353
16.507329,47,11.396046
15.759408,47,11.435824
16.507329,47,11.465435
16.781392,47,11.880869
37.152264,47,11.906671
15.242119,47,12.359515
14.808215,47,12.390032
18.312658,47,12.784282
19.206264,47,12.813786
17.4933,47,13.211324
17.491929,47,13.23773
17.109893,47,13.643071
18.826535,47,13.668668
28.422337,47,14.064745
25.528955,47,14.091249
30.06833,47,14.52416
29.909627,47,14.554004
31.237758,47,14.952495
33.651914,47,14.982372
28.612774,47,15.398594
28.013532,47,15.427801
30.415962,47,15.828792
31.644521,47,15.855646
27.980426,47,16.258063
27.519079,47,16.284752
25.46697,47,16.687515
25.637489,47,16.713762
27.090222,47,17.110141
26.913864,47,17.140134
33.270116,47,17.538944
32.937881,47,17.571761
33.0316,47,17.978736
32.163584,47,18.006089
33.349155,47,18.413717
33.643194,47,18.441016
32.334995,47,18.858148
32.174744,47,18.886964
31.753105,47,19.297238
31.753611,47,19.327458
31.251378,47,19.7362
31.314583,47,19.763844
29.922056,47,20.171583
30.112121,47,20.198176
31.749977,47,20.605193
32.022038,47,20.635453
32.910885,47,21.052969
32.57906,47,21.090003
32.794217,47,21.523777
32.779537,47,21.550391
29.632835,47,21.95513
29.512777,47,21.981665
29.604894,47,22.38772
29.559063,47,22.418988
32.965752,47,22.840261
32.802686,47,22.867213
31.424726,47,23.278046
31.687168,47,23.305046
29.814095,47,23.713179
29.871139,47,23.739715
32.695715,47,24.15121
32.894816,47,24.181321
31.126828,47,24.591256
31.213909,47,24.618662
32.189076,47,25.024966
32.231725,47,25.051577
34.552605,47,25.457929
34.968329,47,25.484365
39.845564,47,25.892697
39.559903,47,25.920139
33.157643,47,26.352382
32.87578,47,26.378978
35.32714,47,26.784016
35.498903,47,26.810685
33.800007,47,27.231278
33.7961,47,27.257442
31.340215,47,27.663268
31.336618,47,27.693388
35.269442,47,28.119354
34.750547,47,28.146003
32.718512,47,28.56426
32.697223,47,28.591051
38.034912,47,29.000176
38.060006,47,29.026637
37.561392,47,29.437205
37.241336,47,29.46706
34.081939,47,29.875588
34.033565,47,29.905704
35.570434,47,30.314444
35.336601,47,30.341765
34.026644,47,30.749591
34.230207,47,30.776458
34.33755,47,31.182681
34.411989,47,31.213202
32.489712,47,31.62781
32.804098,47,31.654238
34.31376,47,32.061821
34.606986,47,32.088701
31.642956,47,32.502139
31.391844,47,32.531191
37.492744,47,32.944978
37.250125,47,32.978342
34.283847,47,33.39167
34.354429,47,33.423725
34.874554,47,33.832545
34.964151,47,33.858661
33.221826,47,34.323995
33.430296,47,34.350394
33.945002,47,34.814804
34.008292,47,34.844234
31.676254,47,35.306393
31.617946,47,35.333179
34.031294,47,35.800541
33.949205,47,35.826845
37.157385,47,36.271224
37.096094,47,36.300692
33.753355,47,36.731738
33.687521,47,36.757653
38.769258,47,37.161743
38.546996,47,37.187913
35.350807,47,37.595739
35.379297,47,37.625822
37.018963,47,38.084218
36.954163,47,38.111023
35.933282,47,38.583374
35.664132,47,38.609936
36.628544,47,39.038149
36.906973,47,39.064154
35.209131,47,39.470367
35.57741,47,39.500494
33.025933,47,39.913417
33.231796,47,39.939649
31.246863,47,40.351991
31.213962,47,40.38077
32.341893,47,40.786546
32.358372,47,40.812718
35.271795,47,41.235594
35.370744,47,41.265282
32.946477,47,41.672044
32.970326,47,41.700941
35.570063,47,42.118436
35.352957,47,42.146569
37.86605,47,42.554484
37.735091,47,42.580987
35.919314,47,42.989855
35.810634,47,43.020045
37.834874,47,43.430068
37.67503,47,43.456363
36.312243,47,43.894998
35.994599,47,43.921841
41.329662,47,44.332997
41.345416,47,44.363994
30.76398,47,44.828299
30.712627,47,44.855062
37.644676,47,45.337252
37.829855,47,45.367096
39.111284,47,45.839093
39.086006,47,45.868951
33.216858,47,46.342058
32.914251,47,46.368345
35.118171,47,46.803033
35.296602,47,46.833134
36.984398,47,47.272344
37.095198,47,47.298955
34.403702,47,47.726526
34.413572,47,47.759217
32.140604,47,48.177356
31.653412,47,48.207615
36.035259,47,48.669901
35.953356,47,48.695897
35.957516,47,49.16551
35.916164,47,49.191588
37.935924,47,49.670331
37.932156,47,49.698871
33.440581,47,50.166138
33.270084,47,50.192875
37.652655,47,50.659093
