#{"t_start": 1743722901.112252, "env_id": "None"}
r,l,t
17.555722,47,22.560866
15.536181,47,22.56977
19.20627,47,22.587484
13.594505,47,22.625981
19.20627,47,22.643032
21.825963,47,22.847997
22.051582,47,22.870159
23.890318,47,23.087283
22.674378,47,23.104929
17.196396,47,23.320318
20.411405,47,23.337172
22.768659,47,23.538792
18.923492,47,23.555571
15.590129,47,23.762592
18.451073,47,23.782427
16.941577,47,24.00485
19.874817,47,24.022932
22.99232,47,24.232305
24.888661,47,24.249212
14.290308,47,24.479785
43.972488,47,24.502099
37.897662,47,24.719576
37.051928,47,24.737497
23.316174,47,24.958975
20.952501,47,24.977646
38.523089,47,25.184235
17.0371,47,25.201005
18.90428,47,25.40332
15.269538,47,25.423572
15.850934,47,25.627207
14.733741,47,25.644915
16.071987,47,25.853401
14.739648,47,25.871346
15.215779,47,26.081114
14.713252,47,26.098768
15.547221,47,26.301285
14.750909,47,26.318181
15.177498,47,26.51913
14.959062,47,26.536395
18.803988,47,26.743766
15.094379,47,26.764078
15.287442,47,26.966316
15.320573,47,26.983669
17.981756,47,27.204785
16.006262,47,27.223454
27.771902,47,27.424721
16.688231,47,27.441394
24.381735,47,27.643069
18.178212,47,27.660231
42.430901,47,27.865245
20.741267,47,27.887249
41.979045,47,28.097787
21.885953,47,28.115847
44.170019,47,28.321471
36.804945,47,28.33814
26.560909,47,28.538646
44.161549,47,28.555195
41.034228,47,28.773784
30.317771,47,28.791698
31.739294,47,29.011278
21.2661,47,29.029559
43.625129,47,29.241938
29.536958,47,29.258873
42.656448,47,29.472723
27.499894,47,29.489613
43.870545,47,29.694104
22.889827,47,29.711247
23.299448,47,29.927876
19.884296,47,29.945365
35.596476,47,30.154494
33.910878,47,30.172578
20.695162,47,30.389907
30.461272,47,30.407872
33.553612,47,30.619184
40.967089,47,30.637051
41.620238,47,30.86061
39.901719,47,30.879341
41.777445,47,31.079254
41.227393,47,31.098352
32.221899,47,31.307064
44.234953,47,31.323767
37.823774,47,31.545775
42.949887,47,31.565294
21.121044,47,31.760884
36.408736,47,31.782294
36.210223,47,31.981455
41.612428,47,31.998632
24.797821,47,32.203391
35.65965,47,32.221426
41.701288,47,32.427354
43.729575,47,32.444394
42.343976,47,32.650862
43.378992,47,32.667855
32.047399,47,32.873003
38.593814,47,32.892919
40.724213,47,33.098855
43.209411,47,33.116137
39.743459,47,33.325648
43.045963,47,33.342371
41.522474,47,33.544142
40.463427,47,33.56139
28.423553,47,33.764155
37.495839,47,33.781045
43.24474,47,33.982341
42.200652,47,33.999113
30.477704,47,34.201232
40.716629,47,34.222416
31.703954,47,34.424816
39.308263,47,34.441604
36.452364,47,34.647175
40.42126,47,34.665884
39.064457,47,34.873122
40.94794,47,34.889938
32.631417,47,35.097771
36.745269,47,35.11506
35.060319,47,35.321
39.850259,47,35.337715
29.567918,47,35.554305
36.147966,47,35.572191
26.946413,47,35.783832
20.301095,47,35.801562
37.999322,47,36.014583
38.607785,47,36.035145
37.730002,47,36.249522
38.86504,47,36.266608
39.380781,47,36.481417
31.120754,47,36.498724
36.81245,47,36.733314
38.071601,47,36.753614
36.8907,47,36.977993
38.040778,47,37.000867
40.631006,47,37.233663
37.303235,47,37.253097
39.550363,47,37.466407
34.280567,47,37.484784
34.238262,47,37.752808
30.460725,47,37.776087
35.310746,47,37.993638
35.678261,47,38.010608
29.857248,47,38.221152
27.027154,47,38.238338
33.852944,47,38.447212
30.877272,47,38.464513
38.375283,47,38.678761
26.997096,47,38.69765
30.427235,47,38.917554
32.309046,47,38.937193
26.025619,47,39.151024
28.262528,47,39.168648
26.339577,47,39.389941
29.503642,47,39.406796
27.5511,47,39.614132
30.396484,47,39.632362
31.821076,47,39.850018
27.437021,47,39.871851
27.329779,47,40.077564
26.85098,47,40.09516
29.164124,47,40.29867
29.958328,47,40.317085
27.652971,47,40.524215
29.910515,47,40.541739
25.282669,47,40.749639
25.016776,47,40.767776
22.265581,47,40.972602
